,Country,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
802,Egypt,79.0,159.0,51,,0.0,93.0,5432,61.1,60,93.0,,93.0,0.1,,,2.8,2.8,0.688,13.1
818,El Salvador,73.5,178.0,2,,0.0,91.0,0,56.1,2,92.0,,91.0,0.2,4127.11775,6312478.0,1.6,1.5,0.678,13.2
834,Equatorial Guinea,58.2,32.0,3,,0.0,16.0,1250,24.5,4,17.0,,16.0,4.2,1347.31257,1175389.0,8.4,8.3,0.582,9.2
850,Eritrea,64.7,255.0,5,,0.0,95.0,198,18.6,7,95.0,,95.0,0.4,,,8.4,8.2,0.418,5.0
866,Estonia,77.6,119.0,0,,0.0,91.0,4,59.9,0,93.0,,93.0,0.1,1774.9291,131547.0,1.9,1.9,0.863,16.5
882,Ethiopia,64.8,225.0,136,,0.0,77.0,17745,17.6,194,75.0,,77.0,0.6,645.4637627,9987333.0,1.4,1.2,0.441,8.4
898,Fiji,69.9,188.0,0,,0.0,99.0,0,62.7,0,99.0,,99.0,0.1,4921.89629,892149.0,4.0,3.7,0.734,15.3
914,Finland,81.1,76.0,0,,0.0,,2,62.1,0,97.0,,97.0,0.1,4245.39744,5479531.0,0.9,0.8,0.893,17.0
930,France,82.4,78.0,2,,0.0,86.0,157,62.5,3,98.0,,98.0,0.1,36526.7711,6662468.0,0.7,0.6,0.894,16.3
946,Gabon,66.0,229.0,2,,0.0,8.0,27,36.3,3,79.0,,8.0,2.7,7388.984144,193175.0,6.1,5.9,0.694,12.6
962,Gambia,61.1,262.0,3,,0.0,97.0,71,27.3,5,96.0,,97.0,1.7,,,7.3,7.2,0.45,8.9
978,Georgia,74.4,129.0,1,,0.0,94.0,431,56.2,1,91.0,,94.0,0.1,3764.64912,37171.0,2.7,2.8,0.768,13.9
994,Germany,81.0,68.0,2,,0.0,88.0,2464,62.3,3,94.0,,95.0,0.1,41176.88158,81686611.0,1.1,1.1,0.924,17.1
1010,Ghana,62.4,249.0,37,,0.0,88.0,23,28.6,52,88.0,,88.0,0.7,1361.11395,27582821.0,6.2,6.1,0.575,11.4
1026,Greece,81.0,72.0,0,,0.0,96.0,1,66.5,0,99.0,,99.0,0.1,187.78991,182883.0,0.8,0.7,0.865,17.2
1042,Grenada,73.6,142.0,0,,0.0,92.0,0,48.4,0,99.0,,92.0,0.1,9212.192824,,3.8,3.8,0.751,15.8
1058,Guatemala,71.9,186.0,10,,0.0,74.0,0,5.6,12,9.0,,74.0,0.4,3923.573344,16252429.0,1.2,1.2,0.637,10.7
1074,Guinea,59.0,284.0,26,,0.0,54.0,243,23.3,40,42.0,,54.0,0.5,554.48766,1291533.0,7.3,7.3,0.414,8.8
1090,Guinea-Bissau,58.9,275.0,4,,0.0,87.0,153,26.3,6,87.0,,87.0,3.2,596.8717189,177526.0,7.1,7.0,0.421,9.2
1106,Guyana,66.2,215.0,0,,0.0,95.0,0,46.7,1,92.0,,95.0,0.3,4136.689919,768514.0,5.5,5.3,0.638,10.3
1122,Haiti,63.5,24.0,14,,0.0,6.0,0,49.9,18,56.0,,6.0,0.5,814.5463952,171161.0,3.9,3.9,0.49,9.1
1138,Honduras,74.6,147.0,3,,0.0,97.0,0,51.0,4,97.0,,97.0,0.3,2326.15856,896829.0,2.1,2.1,0.623,11.2
1154,Hungary,75.8,134.0,0,,0.0,,0,64.8,0,99.0,,99.0,0.1,12365.6263,984328.0,1.6,1.6,0.834,15.6
1170,Iceland,82.7,49.0,0,,0.0,,0,61.0,0,92.0,,92.0,0.1,5734.4436,33815.0,1.0,0.9,0.919,19.0
1186,India,68.3,181.0,910,,0.0,87.0,90387,18.7,1100,86.0,,87.0,0.2,1613.18878,1395398.0,26.7,27.3,0.615,11.6
1202,Indonesia,69.1,176.0,114,,0.0,78.0,15099,27.4,136,8.0,,78.0,0.3,3336.16686,258162113.0,1.4,1.2,0.686,12.9
1218,Iran (Islamic Republic of),75.5,83.0,18,,0.0,98.0,615,59.7,21,98.0,,98.0,0.1,,,8.5,8.6,0.774,14.8
1234,Iraq,68.9,182.0,32,,0.0,56.0,1433,59.1,38,63.0,,58.0,0.1,4974.2693,36115649.0,5.3,5.1,0.649,10.1
1250,Ireland,81.4,64.0,0,,0.0,95.0,4,62.8,0,95.0,,95.0,0.1,6664.144,4676835.0,0.3,0.2,0.92,18.6
1266,Israel,82.5,58.0,0,,0.0,96.0,80,64.9,1,95.0,,95.0,0.1,35729.37253,8381.0,1.2,1.1,0.898,16.0
1282,Italy,82.7,56.0,1,,0.0,93.0,159,63.6,2,93.0,,93.0,0.1,349.14755,673582.0,0.6,0.6,0.881,16.3
1298,Jamaica,76.2,125.0,1,,0.0,91.0,0,54.2,1,91.0,,91.0,0.5,4965.989857,2871934.0,1.8,1.7,0.729,12.8
1314,Japan,83.7,55.0,2,,0.0,,35,29.0,3,99.0,,96.0,0.1,34474.13736,127141.0,2.1,1.8,0.902,15.3
1330,Jordan,74.1,112.0,4,,0.0,99.0,0,65.6,4,99.0,,99.0,0.1,496.99275,915932.0,4.0,4.0,0.741,13.1
1346,Kazakhstan,72.0,198.0,4,,0.0,98.0,526,53.1,5,98.0,,98.0,0.1,159.9817,17544126.0,2.4,2.5,0.793,15.0
1362,Kenya,63.4,249.0,54,,0.0,89.0,95,22.0,75,83.0,,89.0,2.8,1349.97144,47236259.0,7.8,7.6,0.55,11.1
1378,Kiribati,66.3,198.0,0,,0.0,82.0,0,77.6,0,8.0,,78.0,0.1,1424.483611,11247.0,0.1,0.1,0.586,11.9
1394,Kuwait,74.7,81.0,0,,0.0,99.0,18,71.4,1,99.0,,99.0,0.1,28975.418,,3.5,3.4,0.799,13.3
1410,Kyrgyzstan,71.1,166.0,3,,0.0,97.0,17779,44.9,3,97.0,,97.0,0.1,,,3.3,3.4,0.662,13.0
1426,Lao People's Democratic Republic,65.7,194.0,8,,0.0,89.0,56,21.7,11,89.0,,89.0,0.2,,,8.8,8.9,0.582,10.8
1442,Latvia,74.6,153.0,0,,0.0,94.0,0,61.2,0,95.0,,95.0,0.1,13666.58336,1977527.0,2.2,2.1,0.828,16.0
1458,Lebanon,74.9,98.0,1,,0.0,81.0,39,66.1,1,75.0,,81.0,0.1,846.632851,5851479.0,4.9,4.9,0.763,13.3
1474,Lesotho,53.7,484.0,4,,0.0,93.0,0,32.6,6,9.0,,93.0,9.3,173.82893,2174645.0,5.5,5.3,0.495,10.7
1490,Liberia,61.4,259.0,8,,0.0,52.0,1060,27.3,11,52.0,,52.0,0.9,452.38717,4499621.0,6.5,6.4,0.427,9.9
1506,Libya,72.7,138.0,1,,0.0,97.0,82,64.8,2,97.0,,97.0,0.1,,,5.8,5.5,0.719,13.4
1522,Lithuania,73.6,165.0,0,,0.0,94.0,50,62.4,0,93.0,,93.0,0.1,14252.42853,29491.0,2.6,2.6,0.846,16.5
1538,Luxembourg,82.0,63.0,0,,0.0,94.0,0,61.3,0,99.0,,99.0,0.1,1199.8223,56964.0,1.0,0.9,0.896,13.9
1554,Madagascar,65.5,22.0,28,,0.0,69.0,3,2.5,38,71.0,,69.0,0.3,41.8575951,2423488.0,7.1,7.1,0.511,10.3
1570,Malawi,58.3,365.0,26,,0.0,88.0,0,19.6,38,88.0,,88.0,4.8,362.6575444,1757367.0,6.4,6.2,0.473,10.8
1586,Malaysia,75.0,123.0,4,,0.0,99.0,1318,4.6,4,99.0,,99.0,0.1,9643.644683,3723155.0,7.5,7.3,0.787,13.1
1602,Maldives,78.5,61.0,0,,0.0,99.0,0,27.4,0,99.0,,99.0,0.1,8395.785198,49163.0,13.6,13.6,0.701,12.7
1618,Mali,58.2,266.0,52,,0.0,64.0,215,23.8,84,66.0,,64.0,1.5,729.725338,1746795.0,7.7,7.5,0.438,8.4
1634,Malta,81.7,54.0,0,,0.0,95.0,2,69.6,0,97.0,,97.0,0.1,23819.4636,431874.0,0.8,0.8,0.853,14.6
1651,Mauritania,63.1,25.0,8,,0.0,73.0,1,3.8,12,67.0,,73.0,0.9,1158.256469,4182341.0,7.8,7.5,0.513,8.5
1667,Mauritius,74.6,146.0,0,,0.0,97.0,0,33.3,0,98.0,,97.0,0.1,9252.11724,126265.0,6.9,6.8,0.779,15.2
1683,Mexico,76.7,122.0,30,,0.0,82.0,0,63.5,35,87.0,,87.0,0.1,9143.128494,12589949.0,1.5,1.5,0.758,13.3
1699,Micronesia (Federated States of),69.4,166.0,0,,0.0,78.0,0,69.4,0,71.0,,72.0,0.1,,,0.2,0.2,0.637,11.7
1716,Mongolia,68.8,222.0,1,,0.0,99.0,20359,52.7,1,99.0,,99.0,0.1,3944.1839,2976877.0,2.2,2.3,0.733,14.8
1732,Montenegro,76.1,16.0,0,,0.0,82.0,0,61.8,0,89.0,,89.0,0.1,6461.192554,622159.0,1.8,1.8,0.804,15.1
1748,Morocco,74.3,95.0,17,,0.0,99.0,17,58.5,20,99.0,,99.0,0.1,2847.285569,3483322.0,6.4,6.2,0.645,12.1
1764,Mozambique,57.6,355.0,60,,0.0,8.0,79,22.6,81,8.0,,8.0,3.9,528.3125597,281691.0,3.6,3.5,0.414,9.1
1780,Myanmar,66.6,199.0,39,,0.0,89.0,6,23.8,50,89.0,,89.0,0.3,1194.59137,5243669.0,12.8,13.0,0.552,9.1
1796,Namibia,65.8,248.0,2,,0.0,92.0,212,35.7,3,92.0,,92.0,2.1,4737.66996,2425561.0,8.2,8.1,0.637,11.7
1813,Nepal,69.2,165.0,17,,0.0,91.0,1599,19.1,21,9.0,,91.0,0.1,743.7653489,28656282.0,15.7,16.1,0.555,12.2
1829,Netherlands,81.9,57.0,1,,0.0,94.0,7,62.1,1,95.0,,95.0,0.1,44292.88473,16939923.0,1.0,0.9,0.923,18.1
1845,New Zealand,81.6,66.0,0,8.7,0.0,92.0,10,67.5,0,92.0,,92.0,0.1,3821.8937,,0.4,0.3,0.913,19.2
1861,Nicaragua,74.8,145.0,2,,0.0,98.0,0,54.0,2,99.0,,98.0,0.1,295.966488,68235.0,1.8,1.7,0.642,11.7
1877,Niger,61.8,22.0,49,,0.0,65.0,7693,19.3,87,65.0,,65.0,0.4,358.99731,19896965.0,9.6,9.4,0.351,5.4
1893,Nigeria,54.5,344.0,483,,0.0,49.0,12423,25.4,747,49.0,,49.0,3.7,2655.157977,181181744.0,9.8,9.7,0.525,10.0
1910,Norway,81.8,59.0,0,5.97,0.0,,14,61.2,0,95.0,,95.0,0.1,7455.24654,518867.0,0.8,0.7,0.948,17.7
1926,Oman,76.6,99.0,1,,0.0,99.0,0,54.6,1,99.0,,99.0,0.1,16627.36433,,7.1,6.9,0.795,13.7
1942,Pakistan,66.4,161.0,352,,0.0,72.0,386,25.4,433,72.0,,72.0,0.1,1431.244865,18938513.0,19.2,19.6,0.548,8.1
1959,Panama,77.8,118.0,1,,0.0,73.0,0,57.8,1,72.0,,73.0,0.1,13134.4367,3969249.0,1.9,1.8,0.785,13.0
1975,Papua New Guinea,62.9,275.0,10,,0.0,67.0,38,48.6,12,74.0,,73.0,0.6,,7919825.0,1.3,1.3,0.515,10.0
1991,Paraguay,74.0,146.0,2,,0.0,93.0,0,5.2,3,89.0,,93.0,0.2,419.367724,6639119.0,2.0,1.9,0.692,12.3
2007,Peru,75.5,123.0,8,,0.0,9.0,4,55.6,10,88.0,,9.0,0.1,63.343259,31376671.0,1.1,1.1,0.737,13.4
2023,Philippines,68.5,211.0,52,,0.0,6.0,619,25.4,66,79.0,,6.0,0.1,2878.33837,11716359.0,1.0,9.7,0.679,11.7
2039,Poland,77.5,117.0,2,,0.0,96.0,0,61.7,2,92.0,,98.0,0.1,12565.9876,37986412.0,1.9,2.0,0.852,16.4
2055,Portugal,81.1,76.0,0,,0.0,98.0,8,61.6,0,98.0,,98.0,0.1,1922.681,135876.0,0.7,0.5,0.841,16.6
2071,Qatar,78.2,68.0,0,,0.0,99.0,18,69.3,0,99.0,,99.0,0.1,66346.52267,,5.2,4.9,0.855,13.4
2087,Republic of Korea,82.3,64.0,1,,0.0,98.0,7,31.7,2,98.0,,98.0,0.1,,,1.5,1.0,,
2103,Republic of Moldova,72.1,157.0,1,,0.0,88.0,0,53.4,1,88.0,,87.0,0.1,,,2.7,2.8,,
2119,Romania,75.0,133.0,2,,0.0,9.0,4,6.7,2,89.0,,89.0,0.1,8958.788593,19815481.0,2.5,2.7,0.798,14.7
2135,Russian Federation,75.0,222.0,13,,0.0,97.0,843,6.5,15,97.0,,97.0,0.1,9329.298351,1449687.0,2.3,2.3,0.805,15.0
2151,Rwanda,66.1,227.0,11,,0.0,98.0,1,21.4,15,99.0,,98.0,0.4,71.348397,11629553.0,5.7,5.7,0.493,10.8
2168,Saint Lucia,75.2,138.0,0,,0.0,99.0,0,47.5,0,99.0,,99.0,0.1,,,4.3,4.3,0.735,13.1
2184,Saint Vincent and the Grenadines,73.2,156.0,0,,0.0,98.0,0,54.1,0,97.0,,98.0,0.1,,,3.5,3.4,0.72,13.3
2200,Samoa,74.0,125.0,0,,0.0,59.0,0,74.7,0,61.0,,66.0,0.1,4149.363444,193759.0,0.2,0.1,0.702,12.9
2217,Sao Tome and Principe,67.5,19.0,0,,0.0,96.0,0,3.9,0,96.0,,96.0,0.2,1624.63963,195553.0,5.5,5.3,0.565,11.2
2233,Saudi Arabia,74.5,88.0,7,,0.0,98.0,219,68.2,8,97.0,,98.0,0.1,2732.86172,,7.8,7.6,0.845,16.1
2249,Senegal,66.7,188.0,19,,0.0,89.0,58,24.3,26,85.0,,89.0,0.3,98.7256145,14976994.0,9.5,9.3,0.491,9.5
2265,Serbia,75.6,121.0,1,,0.0,94.0,383,6.0,1,95.0,,95.0,0.1,5237.255334,795383.0,2.0,2.0,0.775,14.4
2281,Seychelles,73.2,168.0,0,,0.0,98.0,0,37.4,0,97.0,,97.0,0.1,1539.464,93419.0,5.7,6.0,0.781,14.1
2297,Sierra Leone,51.0,413.0,22,,0.0,86.0,607,24.4,30,86.0,,86.0,0.5,587.538233,723725.0,7.4,7.3,0.431,9.5
