nome da ação;codigo da ação
RUMO S.A ON;RAIL3
SANSUY ON;SNSY3
SANSUY PNB;SNSY6
SANSUY PNA;SNSY5
SANTOS BRASIL ON;STBP3
SÃO CARLOS ON;SCAR3
Sao Francisco Textil PNA;CTVL5L
SÃO MARTINHO ON;SMTO3
ALPARGATAS ON;ALPA3
ALPARGATAS PN;ALPA4
SPTURIS ON;AHEB1
SP TURISMO ON;AHEB3
SPTURIS PNA;AHEB11
SP TURISMO PNB;AHEB6
SP TURISMO PNA;AHEB5
SPTURIS PNB;AHEB13
SARAIVA LIVR;SLED12
SARAIVA LIVR;SLED13
SARAIVA LIVR PN;SLED2
SARAIVA LIVR PN;SLED4
SARAIVA LIVR ON;SLED3
SARAIVA LIVR ON;SLED1
SARAIVA LIVR;SLED11
Sauipe Sa (ex Parseg Par... ON;PSEG3
Sauipe Sa (ex Parseg Par... PN;PSEG4
SCHULZ PN;SHUL4
SCHULZ ON;SHUL3
Sendas Distribuidora ON;ASAI3
Sequoia Logistica e Tran... ON;SEQL3
SER EDUCACIONAL ON;SEER3
SERMAR AGRO PNA PNA;SRAG5L
ALIPERTI PN;APTI4
ALIPERTI ON;APTI3
Simpar ON;SIMH3
Sinop Agro Quimica PNA;SNOP5L
SINQIA ON;SQIA3
SLC AGRICOLA ON;SLCE3
Small Cap;SMLL11
SMART FIT PNB;SMFT6
SMART FIT PNA;SMFT13
SMARTFIT ON;SMFT3
SMILES ON;SMLS3
ALIANSCE SONAE ON;ALSO3
SONDOTECNICA PNB;SOND6
SONDOTECNICA ON;SOND3
SONDOTECNICA PNA;SOND5
SPRINGER PNA;SPRI5
SPRINGER ON;SPRI3
SPRINGER PNB;SPRI6
SPRINGS ON;SGPS3
STARA ON;STTR3
Statkraft Energias Renov... ON;STKF3
Sudeste ON;OPSE3B
Suinos Aves Nordeste Sa ... PN;SUIA4L
Sul 116 Participacoes ON;OPTS3B
SUL AMERICA PN;SULA4
SUL AMERICA ON;SULA3
SUZANO HOLD ON;NEMO3
SUZANO HOLD PNA;NEMO5
SUZANO HOLD PNB;NEMO6
SUZANO PAPEL ON;SUZB3
TIME FOR FUN ON;SHOW3
FORJA TAURUS PN;TASA4
FORJA TAURUS ON;TASA3
FORJA TAURUS PN;TASA15
FORJA TAURUS PN;TASA17
FORJA TAURUS PN;TASA13
Taurus Armas ON;TAUR
Taurus Armas PN;TAUR4
FORJA TAURUS PN;FJTA17
FORJA TAURUS PN;FJTA13
FORJA TAURUS PN;FJTA15
Tbm Textil Bezerra Menez... PNA;TXBZ5L
Tecelagem Texita PNA;TTEX5L
TECHNOS ON;TECN3
TECNISA ON;TCSA3
TECNOSOLO ON;TCNO3
TECNOSOLO PN;TCNO4
TEGMA ON;TGMA3
TEGRA INCORPON ON;TEGA3
TEKA PN;TEKA4
TEKA ON;TEKA3
TEKNO ON;TKNO3
TEKNO PN;TKNO4
TELEBRAS PN;TELB2
TELEBRAS ON;TELB3
TELEBRAS ON;TELB1
TELEBRAS PN;TELB4
TELEF BRASIL ON;VIVT3
TELEF BRASIL PN;VIVT4
Terminal Garagem Menezes... ON;MNZC3B
Terra Bravia Pn PN;TBCC4L
TERRA SANTA ON;TESA12
TERRA SANTA ON;TESA3
TESTE IPN V2ON ON;IPNN3
TEX RENAUX ON;TXRX3
TEX RENAUX PN;TXRX4
TIM ON;TIMS3
TIM ON;TIMP3
Tocantins Agro Avicola PNB;TOCN6L
Tocantins Agro Avicola PNA;TOCN5L
TOTVS ON;TOTS3
TRIUNFO PART ON;TPIS3
Track & Field PN;TFCO4
TRACK & FIELD PN;TCOF4
Tramontina PNB;TBLM6L
Transcontinental Hoteis ... PNA;TCTN5L
TAESA PN;TAEE4
TAESA ON;TAEE3
TREVISA PN;LUXM4
TREVISA ON;LUXM3
TRISUL ON;TRIS3
CRISTAL PNB;CRPG6
CRISTAL PNA;CRPG5
CRISTAL ON;CRPG3
TUPY ON;TUPY3
ULTRAPAR ON;UGPA3
ULTRAPAR ON;UGPA1
UNICASA ON;UCAS3
UNIPAR PNA;UNIP5
UNIPAR PNB;UNIP6
UNIPAR ON;UNIP3
Uptick Participacoes ON;UPKP3B
USIMINAS PNB;USIM6
USIMINAS ON;USIM3
USIMINAS PNA;USIM5
UTILITIES;UTIL11
Vale Bonito PNB;VLBN6L
VALE ON;VALE3
VALID ON;VLID1
VALID ON;VLID3
VALID ON;VLID11
VALID ON;VLID9
Vamos ON;VAMO3
VBI Log CI;LVBI12
Vert Companhia Securitiz...;VERT-CRAA2B0
Vert Companhia Securitiz...;VERT-CRI41B0
Vert Companhia Securitiz...;VERT-CRAE1B0
Vert Companhia Securitiz...;VERT-CRAA20B
VERTCIASEC;VERT-CRAA1B0
VERTCIASEC;VERT-CRA41B0
VERTCIASEC;VERT-CRA12B0
Vert Companhia Securitiz...;VERT-CRA110B
Vert Companhia Securitiz...;VERT-CRA11B0
VERTCIASEC;VERT-CRAA10B
Vert Companhia Securitiz...;VERT-CRA52B0
Vert Companhia Securitiz...;VERT-CRA51B0
VERTCIASEC;VERT-CRA120B
VIA VAREJO ON;VVAR3
VIVARA ON;VIVA3
VIVER ON;VIVR3
VIVER ON;VIVR1
VULCABRAS ON;VULC3
WEG ON;WEGE3
Westwing Comercio Vareji... ON;WEST3
WETZEL PN;MWET4
WETZEL ON;MWET3
WHIRLPOOL PN;WHRL4
WHIRLPOOL ON;WHRL3
WIZ S.A ON;WIZS3
WLM PN;WLMM4
WLM ON;WLMM3
WTC PNA;WTCM5L
Wtorre Vrj Securitizador...;WTVR-CRI11B0
XAVANTE AGRO PNA PNA;XVTE5L
XINGUARA IND PNA PNA;XING5L
XP LOG FII COTAS;XPLG12
XP Malls FD Inv;XPML13
Ybyra S.A ON;YBRA3B
Ybyra S.A ON;YBRA3
Ybyra S.A ON;ALEF3B
ESTACIO PART ON;YDUQ3
Zynga;Z2NZ34
3R Petroleum Oleo E Gas ... ON;RRRP3
3TENTOS ON NM ON;TTEN3
524 Participacoes ON;QVQP3B
